#Entropy	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-144877115000.0	P-126156567000.0	P-88238400200.0	P-24576650900.0	P62414426500.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-135271197000.0	P-107620067000.0	P-57692654700.0	P20821316200.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-140179487000.0	P-121209778000.0	P-83041821000.0	P-19186880200.0	P67945174800.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P1.0	P-119425572000.0	P-88157636600.0	P-33950327500.0	P48266556300.0	P2.05854712	P2.05855047	P2.05855123	P2.05855123	P2.05855167	P2.05855167	P2.05855167	P2.05855167	P2.05855167	P2.05855167	P-97828000500.0	P-68788890700.0	P-18745107100.0	P59055855600.0	P20215868.8	P44553958.8	P61953853.7	P76155145.6	P89038373.0	P102479507.0	P116142089.0	P117711560.0	P119049411.0	P120199464.0	P121198681.0	P8926381140.0	P67319266300.0	P168117368.0	P613587105.0	P1247088960.0	P2218798090.0	P3912414240.0	P8237885080.0	P28549961700.0	P42896993500.0	P64807086300.0	P97551528300.0	P753457783.0	P2233471890.0	P5396950650.0	P12467297000.0	P34193071500.0	P134142401.0	P3149393360.0	P12314339300.0	P29317071300.0	P64268746000.0	P1672824680.0	P14262260800.0	P41091589900.0	P93699751700.0	P14107033000.0	P53303926300.0	*P1056354.44
2750000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	114.551771781	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	111.595039665	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	114.934101535	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	113.560367983	110.064770135	110.064770135	110.064770135	110.064770135	110.064770135	110.064770135	110.064770135	110.064770135	110.064770135	110.064770135	nan	nan	nan	114.317327609	110.066267895	110.068071064	110.069360194	110.070412344	110.071366841	110.072362673	110.073374911	110.073491191	110.07359031	110.073675515	110.073749546	110.725805384	114.890958179	110.077225674	110.110229795	110.157164907	110.22915724	110.354634479	110.675101508	112.15414987	113.180920264	114.717795688	116.942859012	110.120592584	110.230244398	110.464621343	110.984841055	112.559486866	110.074708525	110.298103515	110.973651436	112.209644562	114.680688336	110.188706967	111.116151617	113.052819019	116.685126695	111.104795929	113.915815672	110.064848398
3000000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	119.639119655	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	116.621394043	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	120.029646906	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	118.626924347	115.060745378	115.060745378	115.060745378	115.060745378	115.060745378	115.060745378	115.060745378	115.060745378	115.060745378	115.060745378	nan	nan	nan	119.399761339	115.062272401	115.064110801	115.065425118	115.066497825	115.067470971	115.068486259	115.069518275	115.069636826	115.069737882	115.069824752	115.069900229	115.734810405	119.985587204	115.073444274	115.107093231	115.154945362	115.228344283	115.3562731	115.683001423	117.19174742	118.239630698	119.808746815	122.082059878	115.117658488	115.229452682	115.468408891	115.99898132	117.605402201	115.070877944	115.298637633	115.987569873	117.248358058	119.770851319	115.187103692	116.132895044	118.108795433	121.818585314	116.121314235	118.98983338	115.06082517
3250000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	124.72612754	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	121.647411991	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	125.124852047	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	123.693143226	120.056387018	120.056387018	120.056387018	120.056387018	120.056387018	120.056387018	120.056387018	120.056387018	120.056387018	120.056387018	nan	nan	nan	124.481855769	120.057943305	120.059816934	120.061156438	120.062249702	120.063241497	120.064276242	120.065328034	120.065448857	120.06555185	120.065640385	120.065717308	120.743481096	125.079875958	120.069329269	120.103623057	120.152392201	120.227197701	120.357578079	120.690567652	122.229009117	123.29800376	124.899357507	127.220921665	120.114390781	120.228327341	120.471862781	121.012786889	122.65098095	120.06671376	120.298838115	121.001153629	122.286735757	124.860673831	120.185166796	121.14930359	123.164435145	126.951704427	121.137497676	124.063512968	120.05646834
3500000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	129.812796922	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	126.673094345	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	130.219718583	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	128.759022616	125.051693865	125.051693865	125.051693865	125.051693865	125.051693865	125.051693865	125.051693865	125.051693865	125.051693865	125.051693865	nan	nan	nan	129.563611159	125.053279413	125.055188271	125.056552959	125.057666779	125.058677221	125.059731421	125.060802989	125.060926084	125.061031013	125.061121212	125.061199582	125.751797598	130.173826122	125.064879455	125.099818028	125.149504123	125.225716104	125.358547872	125.697798261	127.265934399	128.356037443	129.989629671	132.359442526	125.110788206	125.226866982	125.474981336	126.026256754	127.696221837	125.062214769	125.298703489	126.014401656	127.32477696	129.950157829	125.18289494	126.165376734	128.219736237	132.084482606	126.15334569	129.136852596	125.051776716
3750000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	134.899126368	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	131.698439251	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	135.314244512	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	133.824564537	130.046666321	130.046666321	130.046666321	130.046666321	130.046666321	130.046666321	130.046666321	130.046666321	130.046666321	130.046666321	nan	nan	nan	134.645027307	130.048281131	130.050225218	130.051615093	130.052749469	130.053778561	130.054852217	130.055943561	130.056068928	130.056175793	130.056267658	130.056347474	130.759691079	135.267435694	130.060095262	130.095678657	130.146281752	130.223900291	130.359183585	130.704695137	132.302522821	133.413733763	135.079561307	137.497623406	130.106851299	130.22507241	130.477765931	131.039391621	132.74112545	130.057381397	130.298234723	131.027314714	132.362481362	135.039301313	130.180288826	131.181114532	133.274700556	137.216920592	131.168858387	134.209854169	130.046750701
4000000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	139.985117293	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	136.723447638	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	140.408431857	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	138.88976699	135.041304183	135.041304183	135.041304183	135.041304183	135.041304183	135.041304183	135.041304183	135.041304183	135.041304183	135.041304183	nan	nan	nan	139.726104396	135.042948256	135.044927573	135.046342634	135.047497567	135.048545306	135.049638418	135.050749539	135.050877178	135.05098598	135.051079509	135.051160771	135.767249877	140.360706699	135.054976474	135.091204687	135.142724775	135.221749864	135.359484667	135.711257337	137.338774606	138.471090725	140.16915444	142.635464305	135.102579791	135.222943223	135.480215879	136.052191155	137.785691232	135.05221343	135.297431332	136.039892442	137.399849114	140.128106306	135.177348102	136.196516973	138.329326294	142.349018384	136.18403573	139.282515764	135.041390092
4250000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	145.070769165	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	141.748120436	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	145.502279294	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	143.954631979	140.035607295	140.035607295	140.035607295	140.035607295	140.035607295	140.035607295	140.035607295	140.035607295	140.035607295	140.035607295	nan	nan	nan	144.806842813	140.037280628	140.039295172	140.040735418	140.041910905	140.042977292	140.044089858	140.045220755	140.045350665	140.045461404	140.045556597	140.045639306	140.774473028	145.453637869	140.049522919	140.086395904	140.138832923	140.219264462	140.359450605	140.717483959	142.374689275	143.528110337	145.25840803	147.772965244	140.097973457	140.220479061	140.482330534	141.064654935	142.829918984	140.0467107	140.296292874	141.052134389	142.4368796	145.21648703	140.174072459	141.211583964	143.383615133	147.480776006	141.198877597	144.354766479	140.035694733
4500000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	150.156081023	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	146.772455823	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	150.595786487	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	149.019158523	145.029575145	145.029575145	145.029575145	145.029575145	145.029575145	145.029575145	145.029575145	145.029575145	145.029575145	145.029575145	nan	nan	nan	149.887241603	145.031277742	145.033327516	145.03479295	145.035988994	145.037074031	145.038206054	145.039356728	145.03948891	145.039601585	145.039698444	145.039782599	145.781362436	150.546228753	145.04373413	145.081251964	145.13460602	145.216444177	145.359081947	145.723376722	147.410267816	148.584791614	150.347321168	152.910127221	145.09303199	145.217680017	145.484110846	146.076783794	147.873809915	145.04087273	145.294819689	146.064041445	147.473574084	150.304511469	145.170461839	146.226315685	148.437566409	152.61219412	146.213384223	149.426652936	145.029664111
4750000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	155.241054319	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	151.796454708	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	155.688955124	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	154.083345618	150.02320911	150.02320911	150.02320911	150.02320911	150.02320911	150.02320911	150.02320911	150.02320911	150.02320911	150.02320911	nan	nan	nan	154.967301295	150.024940967	150.027025968	150.028516586	150.029733185	150.030836868	150.031988346	150.033158795	150.033293249	150.03340786	150.033506383	150.033591984	150.787916259	155.638481097	150.037611425	150.075774022	150.130044996	150.213289584	150.358378659	150.72893403	152.445509741	153.641133547	155.43589583	158.046948256	150.087756494	150.214546662	150.485556245	151.088576598	152.91736307	150.03470085	150.293012021	151.075612435	152.509931941	155.392197643	150.166517016	151.24071149	153.491179148	157.743271404	151.227554922	154.498199844	150.023299606
5000000.0	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	160.325687828	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	156.820118085	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	160.781783202	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	159.14719527	155.016508648	155.016508648	155.016508648	155.016508648	155.016508648	155.016508648	155.016508648	155.016508648	155.016508648	155.016508648	nan	nan	nan	160.047021886	155.018269767	155.020389996	155.021905799	155.023142954	155.024265286	155.025436219	155.026626444	155.02676317	155.026879717	155.026979905	155.027066952	155.794136369	160.730392899	155.031154306	155.069961703	155.125149645	155.209800742	155.357341256	155.73415757	157.48041534	158.697138152	160.524130016	163.183353943	155.082146631	155.21107906	155.486667649	156.100035065	157.960578928	155.028194553	155.290870177	156.08684909	157.545953391	160.479543651	155.162237899	156.254772936	158.544455094	162.874008548	156.241391263	159.569409203	155.016600673
