#S	T	Rho	P
47058823.5	2283.53445623	0.000527912459861	1000000.0
47588235.3	2280.47897204	0.000487593554416	1000000.0
48117647.1	2278.29494428	0.000452478046732	1000000.0
48647058.8	2276.82920325	0.000421631667842	1000000.0
49176470.6	2275.9281039	0.000394311820599	1000000.0
49705882.4	2275.03996462	0.000369966995605	1000000.0
50235294.1	2273.49175058	0.000348088774849	1000000.0
50764705.9	2272.33459028	0.000328467652186	1000000.0
51294117.6	2271.51515926	0.000310772309221	1000000.0
51823529.4	2270.96558649	0.000294629815502	1000000.0
52352941.2	2270.6606135	0.000279933787058	1000000.0
52882352.9	2270.5641247	0.000266525270483	1000000.0
53411764.7	2270.58772479	0.000254206402645	1000000.0
53941176.5	2270.80089976	0.000242911675838	1000000.0
54470588.2	2271.16913236	0.000232460240011	1000000.0
55000000.0	2271.68051296	0.000222785219194	1000000.0
55529411.8	2272.32167522	0.000213812945663	1000000.0
56058823.5	2273.07150049	0.000205433891409	1000000.0
56588235.3	2273.93238591	0.000197652719864	1000000.0
57117647.1	2274.84539356	0.000190370437723	1000000.0
57647058.8	2275.85520097	0.000183602186078	1000000.0
58176470.6	2276.92708901	0.000177224188275	1000000.0
58705882.4	2278.07749711	0.000171261156771	1000000.0
59235294.1	2279.29201332	0.000165630614819	1000000.0
59764705.9	2280.56902796	0.000160322494733	1000000.0
60294117.6	2281.90425773	0.000155314414106	1000000.0
60823529.4	2283.28816962	0.00015055951638	1000000.0
61352941.2	2284.14180363	0.000146079496844	1000000.0
61882352.9	2284.77889218	0.000141811685875	1000000.0
62411764.7	2285.46347158	0.000137786290784	1000000.0
62941176.5	2286.17022205	0.000133962293211	1000000.0
63470588.2	2286.91233372	0.000130339128312	1000000.0
64000000.0	2287.69297075	0.000126906850735	1000000.0
64529411.8	2288.49708318	0.000123595665952	1000000.0
65058823.5	2289.33526	0.000120452972349	1000000.0
65588235.3	2290.20224838	0.000117453978858	1000000.0
66117647.1	2291.09074853	0.000114564822583	1000000.0
66647058.8	2292.00734872	0.000111814477719	1000000.0
67176470.6	2292.94516047	0.000109171247508	1000000.0
67705882.4	2293.90312895	0.000106629626107	1000000.0
68235294.1	2294.88456536	0.000104203734527	1000000.0
68764705.9	2295.87428317	0.000101880968515	1000000.0
69294117.6	2296.88130544	9.96582388304e-05	1000000.0
69823529.4	2297.90826563	9.75304941393e-05	1000000.0
